,count,unique,top,freq,mean,std,min,25%,50%,75%,max
q1,22768,147,Ecuador,3201,,,,,,,
q25a,22768.0,,,,3.7178496134926213,0.8137340102014733,1.0,3.0,4.0,4.0,5.0
q25b,22768.0,,,,3.8871661981728742,0.6793430680690308,1.0,4.0,4.0,4.0,5.0
q25c,22768.0,,,,3.212271609276177,0.8238092722607441,1.0,3.0,3.0,4.0,5.0
q25d,22768.0,,,,3.7356816584680255,0.81658620398289,1.0,3.0,4.0,4.0,5.0
q26a,22768.0,,,,3.7911542515811667,0.7076171495990335,1.0,4.0,4.0,4.0,5.0
q26b,22768.0,,,,3.853786015460295,0.6743176827127576,1.0,4.0,4.0,4.0,5.0
q26c,22768.0,,,,3.7902319044272663,0.7222455738394473,1.0,4.0,4.0,4.0,5.0
q26d,22768.0,,,,3.186753338018271,0.7992596831174896,1.0,3.0,3.0,4.0,5.0
q26e,22768.0,,,,3.756368587491216,0.7599814293472471,1.0,4.0,4.0,4.0,5.0
q26f,22768.0,,,,3.1423049894588897,0.8316585754016754,1.0,3.0,3.0,4.0,5.0
q26g,22768.0,,,,3.7252723120168656,0.7824495334787124,1.0,3.0,4.0,4.0,5.0
q26h,22768.0,,,,3.1195537596626846,0.8087286441458599,1.0,3.0,3.0,3.0,5.0
q26i,22768.0,,,,3.730455024595924,0.8069405763584279,1.0,4.0,4.0,4.0,5.0
q26j,22768.0,,,,3.733749121574139,0.7884166901871065,1.0,4.0,4.0,4.0,5.0
q27a,22768.0,,,,3.2093728039353477,0.7911121744166378,1.0,3.0,3.0,4.0,5.0
q27b,22768.0,,,,3.197382290934645,0.7921675919681683,1.0,3.0,3.0,4.0,5.0
q27c,22768.0,,,,3.6853917779339422,0.7940089863234565,1.0,3.0,4.0,4.0,5.0
q27d,22768.0,,,,3.0633345045678144,0.7739292983272971,1.0,3.0,3.0,3.0,5.0
q27e,22768.0,,,,3.7239546732255797,0.75878061242937,1.0,4.0,4.0,4.0,5.0
q27f,22768.0,,,,3.6528900210822206,0.818425260859204,1.0,3.0,4.0,4.0,5.0
q27g,22768.0,,,,3.1301387912860155,0.8082620854523566,1.0,3.0,3.0,3.0,5.0
q27h,22768.0,,,,3.6849525650035138,0.791452025203775,1.0,3.0,4.0,4.0,5.0
q27i,22768.0,,,,3.2246134926212227,0.792454827211369,1.0,3.0,3.0,4.0,5.0
q27j,22768.0,,,,3.061401967673928,0.8019543936157598,1.0,3.0,3.0,3.0,5.0
q28a,22768.0,,,,3.1894325368938863,0.7725462793225494,1.0,3.0,3.0,4.0,5.0
q28b,22768.0,,,,3.1926827125790584,0.7686053623345527,1.0,3.0,3.0,4.0,5.0
q28c,22768.0,,,,3.1092322557976106,0.7681377158883571,1.0,3.0,3.0,3.0,5.0
q28d,22768.0,,,,3.010189739985945,0.7897984634543916,1.0,3.0,3.0,3.0,5.0
q28e,22768.0,,,,3.201774420238932,0.7616404123841576,1.0,3.0,3.0,4.0,5.0
q28f,22768.0,,,,2.9743499648629657,0.7817318502571735,1.0,3.0,3.0,3.0,5.0
q28g,22768.0,,,,3.666900913562895,0.781921631328527,1.0,3.0,4.0,4.0,5.0
q28h,22768.0,,,,3.2071328179901615,0.7312812931447432,1.0,3.0,3.0,4.0,5.0
q28i,22768.0,,,,3.6776616303583975,0.7749129798164829,1.0,3.0,4.0,4.0,5.0
